District Name,ICOS Facility ID,Facility Name,ICOS Building ID,Building Name,Enrollment,Latitude,Longitude,FEMA Construction Type,Number of Floors,Gross Sq Ft,Year Built,Last Major Renovation,Did Renovation Include Seismic Upgrades? (Y/N),Structural Drawings Available,Original Bldg Code Year,Original Building  Code,PGA 2% in 50 Year (%g),Seismic PGA Class,Mapped Site Class,VS30 Site Class,VS30 (m/s),Urban Or Rural,Earthquake Hazard Level,Liquefaction Potential,Tsunami Risk,Known Or Possible URM
Ocean Beach,11997,Ilwaco High School,20728,Ilwaco High School,286,46.313,-124.04,W2,1,"89,249",1971,2014,No,Yes,1967,UBC,71%,60,B,D,184,Urban,High,Bedrock,Low,
Ocean Beach,11997,Ilwaco High School,12323,Stadium Complex,286,46.313,-124.04,RM2,1,"11,568",1976,-,No,Yes,1976,UBC,71%,60,B,D,184,Urban,High,Bedrock,Low,
Ocean Beach,12330,Long Beach Elementary School,19098,Main Building,243,46.349,-124.052,W2,1,"36,213",1964,2005,No,Yes,,,71%,60,D,D,212,Urban,Extremely High,Moderate to High,High or Very High,
Ocean Beach,10155,Ocean Park Elementary School,11935,Main Building,166,46.488,-124.051,W2,1,"35,593",2005,-,,Yes,2003,IBC,71%,60,D,D,250,Rural,Extremely High,Moderate to High,Moderate,
Ocosta,12476,Ocosta Elementary School,20357,Primary Addition,320,46.862,-124.1,RM1,1,"15,530",1986,-,No,Yes,1982,UBC,73%,60,D,D,220,Rural,Extremely High,Moderate to High,High or Very High,
Ocosta,11919,Ocosta Junior Senior High School,13146,Junior Senior High,285,46.864,-124.101,RM1,1,"67,265",1986,-,No,Yes,1982,UBC,73%,60,D,D,220,Rural,Extremely High,Moderate to High,High or Very High,
Oroville,10516,Oroville Elementary School,18565,Main Building,323,48.933,-119.437,RM1,1,"65,534",1954,-,,No,,,20%,14,C-D,D,258,Urban,Moderate,Very Low to Low,None,
Palisades,11629,Palisades Elementary School,15495,Grange Hall,32,47.416,-119.916,W2,1,"3,049",1930,-,,No,,,29%,18,D-E,D,263,Rural,Moderate to High,Moderate to High,None,
Palisades,11629,Palisades Elementary School,15206,Main Building,32,47.416,-119.916,URM,2,"5,084",1923,-,,No,,,29%,18,D-E,D,263,Rural,Moderate to High,Moderate to High,None,Yes
Pasco,11669,Edwin Markham Elementary School,12049,Main Building,371,46.43,-119.198,W2,1,"36,500",1962,1984,Yes,Yes,,,24%,16,D,D,332,Rural,Moderate,Low,None,
Pateros,11925,Pateros K-12 School,10003,Main Building,138,48.052,-119.906,RM1,2,"51,157",1948,1982,,No,,,32%,20,D-E,D,327,Urban,High,Moderate to High,None,
Pateros,11925,Pateros K-12 School,17712,Metal Shop,138,48.052,-119.906,S2a,1,"4,000",1962,-,,No,,,32%,20,D-E,D,327,Urban,High,Moderate to High,None,
Pateros,11925,Pateros K-12 School,10259,Music Building,138,48.052,-119.906,RM1,1,"1,680",1958,-,,No,,,32%,20,D-E,D,327,Urban,High,Moderate to High,None,
Pateros,11925,Pateros K-12 School,12916,Wood Shop,138,48.052,-119.906,W2,1,"3,420",1995,-,,No,,,32%,20,D-E,D,327,Urban,High,Moderate to High,None,
Paterson,12001,Paterson Elementary School,11968,Main Building,145,45.939,-119.609,RM1,1,"14,970",1968,2003,Yes,Yes,,,19%,18,B,B,980,Rural,Moderate,Low,None,
Port Angeles,11703,Roosevelt Elementary School,14120,Main Building,502,48.103,-123.39,W2,1,"23,785",1978,-,No,Yes,1976,UBC,71%,60,C-D,C,431,Rural,Very High,Very Low,Extremely Low,
Port Townsend,12006,Port Townsend High School,13775,Gym,366,48.118,-122.768,URM,1,"34,112",1941,1984,No,No,1984,UBC,56%,50,C,D,355,Urban,High,Very Low,Extremely Low,Yes
Port Townsend,12006,Port Townsend High School,18186,Main Building,366,48.118,-122.768,URM,3,"45,578",1934,1984,No,Yes,1934,,56%,50,C,D,355,Urban,High,Very Low,Extremely Low,
Port Townsend,12006,Port Townsend High School,10330,Math Science Annex,366,48.118,-122.768,URM,2,"13,169",1928,1996,No,Yes,1958,,56%,50,C,D,355,Urban,High,Very Low,Extremely Low,
Port Townsend,12006,Port Townsend High School,14775,Stuart Building,366,48.118,-122.768,W2,1,"17,912",1952,1984,No,No,,,56%,50,C,D,355,Urban,High,Very Low,Extremely Low,
Puyallup,10055,Maplewood Elementary School,16592,Main Building,434,47.19,-122.309,URM,1,"43,621",1934,1998,Yes,Yes,1927,UBC,50%,50,D-E,E,165,Urban,Very High,high,Low,Yes
Puyallup,10624,Puyallup High School,16154,Gymnasium & Swimming Pool Building,1752,47.191,-122.303,W2,2,"66,488",1958,1984,Yes,Yes,1955,UBC,50%,50,D-E,E,167,Urban,Very High,high,Low,
Puyallup,10624,Puyallup High School,19196,Library Science Building,1752,47.191,-122.303,W2,2,"25,262",1962,1986,Yes,Yes,1958,UBC,50%,50,D-E,E,167,Urban,Very High,high,Low,
Puyallup,10624,Puyallup High School,15709,Main Building,1752,47.191,-122.303,URM,3,"121,408",1927,1995,Yes,Yes,,,50%,50,D-E,E,167,Urban,Very High,high,Low,Yes
Puyallup,12100,Spinning Elementary School,,East & West Classroom Wings,318,47.189,-122.277,W2,1,"27,300",1960,1971,No,No,1958,UBC,,,,D,200,,,high,,
Puyallup,12100,Spinning Elementary School,14564,Main Building,318,47.189,-122.277,URM,1,"11,480",1890,1985,Yes,Yes,,,,,,D,200,Urban,,high,,Yes
Quilcene,12092,Quilcene High And Elementary School,15294,Elementary,206,47.823,-122.875,W2,1,"10,500",1952,1952,No,Yes,1952,,55%,50,C-D,C,514,Rural,High,Low,Moderate,
Quilcene,12092,Quilcene High And Elementary School,15982,High School,206,47.823,-122.875,C2a,2,"7,856",1935,1975,No,No,,,55%,50,C-D,C,514,Rural,High,Low,Moderate,
Quilcene,12092,Quilcene High And Elementary School,12798,Middle School,206,47.823,-122.875,W2,1,"9,438",1964,1979,Unknown,No,,,55%,50,C-D,C,514,Rural,High,Low,Moderate,
Raymond,10382,Raymond Elementary School,14323,Raymond elementary,325,46.686,-123.726,C2a,1,,1955,1997,No,Yes,,,,60,,D,305,Urban,,Moderate to High,,
Raymond,10926,Raymond Junior Senior High School,15212,Main Building,251,46.685,-123.726,W2,2,"23,000",1925,2003,No,Yes,,,,60,,D,305,Urban,,Moderate to High,,
Ridgefield,11175,Union Ridge Elementary School,,Covered Play Area,777,45.817,-122.742,W2,,"2,200",,,,Yes,,,,,,D,268,,,Very Low,,
Ridgefield,11175,Union Ridge Elementary School,18602,Main Building,777,45.817,-122.742,W2,1,"43,178",1952,1993,No,Yes,,,40%,30,C,D,268,Urban,High,Very Low,None,
Riverside,10900,Chattaroy Elementary School,20113,35 Wing Building,289,47.892,-117.358,URM,2,"13,956",1934,1983,,Yes,,,22%,14,D,D,291,Rural,Moderate,Low,None,Yes
Riverside,10900,Chattaroy Elementary School,14703,Main Building,289,47.892,-117.358,RM1,1,"27,953",1987,1993,,Yes,UBC,1988,22%,14,D,D,291,Rural,Moderate,Low,None,
Royal,12362,Red Rock Elementary School,12448,Main Building,596,46.911,-119.624,W2,2,"57,631",1992,1994,,No,,,22%,18,C,C,391,Urban,Moderate,Bedrock,None,
Royal,11889,Royal High School,15534,A Gymnasium,492,46.912,-119.628,C3,1,"31,320",1965,1996,,No,,,22%,18,C,C,391,Urban,Moderate,Bedrock,None,
Royal,11889,Royal High School,16484,B Main Building,492,46.912,-119.628,RM1,1,"28,636",1965,1996,,No,,,22%,18,C,C,391,Urban,Moderate,Bedrock,None,
Royal,10671,Royal Middle School,12746,Main Building,248,46.911,-119.627,RM1,1,,1991,1996,,No,,,,18,,C,391,Urban,,Bedrock,,
Shaw Island,10186,Shaw Island School,17116,Admin/RR Building,16,48.572,-122.962,W2,1,"1,096",1952,-,,No,,,47%,50,B,B,1674,Rural,High,Bedrock,Extremely Low,
Shaw Island,10186,Shaw Island School,18914,Intermediate Classroom Building,16,48.572,-122.962,W2,1,"1,009",1992,-,,Yes,,,47%,50,B,B,1674,Rural,High,Bedrock,Extremely Low,
Shaw Island,10186,Shaw Island School,16507,Primary Classroom Building,16,48.572,-122.962,W2,1,892,1902,-,,No,,,47%,50,B,B,1674,Rural,High,Bedrock,Extremely Low,
Skykomish,11195,Skykomish School,21304,Main Building,16,47.709,-121.362,C2,3,"39,433",1938,-,,No,,,39%,30,D-E,D,347,Urban,High,Moderate to High,None,
South Bend,10373,South Bend Jr/Sr High School,11955,Koplitz Field House,225,46.662,-123.792,RM1,1,"16,254",1950,1995,Yes,Yes,,,65%,60,D-E,E,109,Urban,Extremely High,Moderate to High,High or Very High,
South Bend,10373,South Bend Jr/Sr High School,16963,Vocational Building,225,46.662,-123.792,RM1,1,"6,542",1954,-,,Yes,,,65%,60,D-E,E,109,Urban,Extremely High,Moderate to High,High or Very High,
South Whidbey,10199,South Whidbey Elementary School,13428,Main Building,510,48.014,-122.411,W2,1,"49,577",1988,,,Yes,1985,UBC,65%,60,C,C,456,Rural,Very High,Very Low,Extremely Low,
Spokane,10486,Adams Elementary School,,Gym & Cafeteria,334,47.621,-117.368,URM,1,,1950,,,No,,,,12,,C,553,Urban,,Bedrock,,Yes
Spokane,10486,Adams Elementary School,19951,Main Building,334,47.621,-117.368,URM,3,"34,628",1910,,,Partial,,,14%,12,B,C,553,Urban,NULL,Bedrock,None,Yes
Spokane,12427,Audubon Elementary School,19568,Main Building,427,47.68,-117.442,S2a,2,"51,653",1980,,,Yes,UBC,1976,17%,12,C,C,422,Urban,NULL,Very Low,None,
Spokane,11231,Libby Center,20029,Main Building,278,47.656,-117.368,URMa,2,"66,393",1928,1995,,Partial,,,17%,12,C,C,385,Urban,NULL,Very Low,None,Yes
Sunnyside,11495,Outlook Elementary School,18506,Outlook Elementary Main Building,646,46.345,-120.097,W2,1,"57,084",1932,2002,No,Yes,,,28%,18,D,D,279,Rural,Moderate,Low to Moderate,None,
Tacoma,10169,Fern Hill Elementary School,15423,Main Building,324,47.179,-122.443,URM,3,"60,159",1911,2006,Yes,Yes,,,53%,50,C,C,535,Urban,High,Very Low,Extremely Low,Yes
Tacoma,11394,Oakland High School,18694,Main Building,203,47.23,-122.486,URM,3,"41,575",1911,1957,No,No,,,54%,50,C-D,C,458,Urban,High,Very Low,Extremely Low,Yes
Taholah,10818,Taholah School,15170,Covered Court,187,47.344,-124.288,W2,1,"3,600",1991,-,No,Yes,,,70%,60,D-E,D,278,Rural,Extremely High,Moderate to High,High or Very High,
Taholah,10818,Taholah School,13517,Main Building,187,47.344,-124.288,W2,1,"68,105",1973,1991,No,Yes,1985,UBC,70%,60,D-E,D,278,Rural,Extremely High,Moderate to High,High or Very High,
Thorp,10044,Thorp Elementary and Junior Senior High School,21839,Brick Building,124,47.07,-120.676,W2,2,"16,303",1930,-,,Some,1927,UBC,33%,20,D-E,C,532,Rural,High,Moderate to High,None,
Thorp,10044,Thorp Elementary and Junior Senior High School,21838,Thorp Elem/Jr/Sr High School,124,47.07,-120.676,RM1,1,"38,975",1991,-,,Some,1988,UBC,33%,20,D-E,C,532,Rural,High,Moderate to High,None,
Tonasket,12342,Tonasket Elementary School,18140,Greenhouse,593,48.702,-119.432,S2a,1,400,1995,-,,No,,,22%,16,C-D,D,313,Urban,Moderate,Very Low to Low,None,
Tonasket,12342,Tonasket Elementary School,21131,Tonasket Elementary,593,48.702,-119.432,RM1,1,"60,825",1995,-,,Yes,UBC,1991,22%,16,C-D,D,313,Urban,Moderate,Very Low to Low,None,
Tonasket,12540,Tonasket Middle-High School,21196,High School/Middle School,569,48.702,-119.434,RM2,2,"106,398",1995,-,,Yes,UBC,,22%,16,C-D,D,313,Urban,Moderate,Very Low to Low,None,
Touchet,10625,Touchet Elementary and High School,20924,CTE Building,226,46.043,-118.672,RM1,1,"3,440",1960,-,,No,,,28%,18,D-E,C,427,Rural,Moderate to High,Moderate to High,None,
Touchet,10625,Touchet Elementary and High School,20922,Elementary - Main Building,226,46.043,-118.672,RM1,1,"40,250",1960,1996,,No,,,28%,18,D-E,C,427,Rural,Moderate to High,Moderate to High,None,
Touchet,10625,Touchet Elementary and High School,20926,Secondary Facility,226,46.043,-118.672,PC1,1,"29,478",1975,-,,Partial,UBC,,28%,18,D-E,C,427,Rural,Moderate to High,Moderate to High,None,
Tumwater,10611,Black Lake Elementary School,14369,Building A,504,46.991,-122.967,W2,1,"22,494",1982,-,No,Yes,1979,UBC,56%,60,D,C,394,Urban,High,Low to Moderate,Extremely Low,
Tumwater,10611,Black Lake Elementary School,11452,Building B,504,46.991,-122.967,W2,1,"21,314",1982,-,No,Yes,1979,UBC,56%,60,D,C,394,Urban,High,Low to Moderate,Extremely Low,
Tumwater,10611,Black Lake Elementary School,20813,Building C,504,46.991,-122.967,RM1,1,"4,018",1984,-,No,Yes,1979,UBC,56%,60,D,C,394,Urban,High,Low to Moderate,Extremely Low,
Vashon Island,10465,Vashon Island High School,20350,Building D - Gymnasium,596,47.423,-122.457,RM1,3,"23,744",1961,-,No,some,1958,UBC,61%,60,C,C,377,Rural,Very High,Very Low,Extremely Low,
Vashon Island,10465,Vashon Island High School,20352,Building K - Annex,596,47.423,-122.457,W2,1,"4,677",1957,-,Unknown,No,1961,UBC,61%,60,C,C,377,Rural,Very High,Very Low,Extremely Low,
Warden,10921,Warden K-12,24208,Cafeteria,326,46.961,-119.042,RM1,1,"10,312",1900,-,,Partial,IBC,2009,25%,16,D,C,503,Urban,Moderate,Low,None,
Warden,10921,Warden K-12,24207,Gymnasium,326,46.961,-119.042,C3a,1,"22,453",1900,-,,Partial,IBC,2006,25%,16,D,C,503,Urban,Moderate,Low,None,
Warden,10921,Warden K-12,21956,Middle School/High School,326,46.961,-119.042,W2,1,"50,570",1998,-,,Yes,UBC,1994,25%,16,D,C,503,Urban,Moderate,Low,None,
Washougal,10296,Hathaway Elementary School,23054,Main Building,422,45.582,-122.346,W2,1,"48,901",1935,2002,Yes,Yes,,,37%,30,C,C,531,Urban,Moderate to High,Low to Moderate,None,
Washtucna,11966,Washtucna Elementary High School,22085,Ag Shop/ Music Room,46,46.752,-118.31,URM,2,"8,375",1920,-,,No,,,25%,14,D-E,C,511,Urban,Moderate to High,Moderate to High,None,Yes
Washtucna,11966,Washtucna Elementary High School,22084,Main Building,46,46.752,-118.31,URM,1,"37,873",1956,-,,Partial,,,25%,14,D-E,C,511,Urban,Moderate to High,Moderate to High,None,Yes
White Pass,11994,White Pass Elementary School,17591,Main Building,231,46.536,-121.928,RM1,1,"30,659",1964,2011,Yes,Yes,1961,UBC,43%,40,C-D,D,304,Rural,High,Very Low to Low,None,
White Pass,10854,White Pass Junior Senior High School,11003,Main Building,227,46.537,-121.93,RM1,1,"62,005",2010,-,Yes,Yes,2006,IBC,44%,40,C-D,D,304,Rural,High,Very Low to Low,None,
White Salmon Valley,10734,Columbia High School,22348,C Court - Gym,387,45.742,-121.494,PC1a,1,"33,246",1970,-,,Yes,1967,UBC,27%,20,C,C,380,Rural,Moderate,Very Low,None,
White Salmon Valley,10734,Columbia High School,22351,Libray,387,45.742,-121.494,PC1,1,"5,225",1970,-,,Yes,1967,UBC,27%,20,C,C,380,Rural,Moderate,Very Low,None,
White Salmon Valley,10734,Columbia High School,22349,Metal /Wood Shop,387,45.742,-121.494,PC1,1,"7,560",1970,-,,Yes,1967,UBC,27%,20,C,C,380,Rural,Moderate,Very Low,None,
White Salmon Valley,11511,Hulan L. Whitson Elementary School,14661,Main Building,427,45.731,-121.487,URM,2,"47,190",1956,1990,No,Yes,,,23%,20,B,C,464,Urban,Moderate,Bedrock,None,Yes
White Salmon Valley,12450,Wayne M. Henkle Middle School,22355,Middle School,195,45.74,-121.494,RM1,1,"36,587",1960,1990,No,Yes,,,27%,20,C,C,380,Rural,Moderate,Very Low,None,
Wilson Creek,10279,Wilson Creek K-12,10998,Business Building/Home Ec.,92,47.426,-119.121,W2,1,"2,272",1984,-,,No,,,19%,16,C,C,374,Urban,NULL,Very Low,None,
Wilson Creek,10279,Wilson Creek K-12,24318,Gym/Commons,92,47.426,-119.121,RM1,1,"17,335",1997,-,,No,,,19%,16,C,C,374,Urban,NULL,Very Low,None,
Wilson Creek,10279,Wilson Creek K-12,24204,Main - Gym & Classrooms,92,47.426,-119.121,URM,2,"18,944",1932,1980,,No,,,19%,16,C,C,374,Urban,NULL,Very Low,None,Yes
Wilson Creek,10279,Wilson Creek K-12,22654,Vo-Ag / Science Bldg,92,47.426,-119.121,W2,2,"7,950",1989,-,,No,,,19%,16,C,C,374,Urban,NULL,Very Low,None,
