Priority level,District Name,Facility Name,Building Name,ICOS#
Lower,Battle Ground,Praire High School,400 Building,50013
Lower,Battle Ground,River Homelink,Main Building,50050
Lower,Bellingham,Fairhaven Middle School,Main Building - Classrooms,54454
Lower,Bellingham,Fairhaven Middle School,West Wing,54455
Lower,Bellingham,Whatcom Middle School,Music Building,54468
Lower,Bethel,Camas Prairie Elementary School,Main Building,57577
Lower,Bickleton,Bickleton Elementary and High School,Main Building,51649
Lower,Burlington-Edison,Edison Elementary School,Original Building,50089
Lower,Cape Flattery,Neah Bay Junior/ Senior High School,Neah Bay Middle School & Gym,57834
Lower,Carbonado,Carbonado Historical School 19,Computer Lab and Library,57840
Lower,Cascade,Beaver Valley School,Main Building,51675
Lower,Central Kitsap,Emerald Heights Elementary,Gym,57877
Lower,Central Kitsap,Green Mountain Elementary,Gymnasium,57875
Lower,Central Kitsap,Green Mountain Elementary,Main,57875
Lower,Central Kitsap,Pinecrest Elementary,Gymnasium,57854
Lower,Central Kitsap,Pinecrest Elementary,Main,57854
Lower,Central Kitsap,Ridgetop Junior High,Main,57855
Lower,Central Kitsap,Silver Ridge Elementary,Main,57857
Lower,Central Kitsap,Woodlands Elementary,Main,57903
Lower,Chimacum,Chimacum Middle School,Middle School Bldg 200,58031
Lower,Clover Park,Custer Elementary School,Library,50243
Lower,Coupeville,Coupeville High School,Gymnasium,54537
Lower,Coupeville,Coupeville Middle School,Middle and High School Building,54544
Lower,Creston,Creston Junior Senior High School,Creston K-12 School Building,51821
Lower,Darrington,Darrington Elementary School,Main Elementary School,54550
Lower,Dieringer,North Tapps Middle School,Main Building,58058
Lower,East Valley (Yakima),East Valley Central Middle School,6th Grade Building,50349
Lower,East Valley (Yakima),East Valley Central Middle School,Computer Lab Building,50351
Lower,Federal Way,Kilo Middle School,Building D,50804
Lower,Federal Way,Nautilus K-8 School,Multipurpose Rm Bldg,50826
Lower,Federal Way,Nautilus K-8 School,Rooms 15-20 Bldg,50827
Lower,Federal Way,Nautilus K-8 School,Rooms 1-6 Bldg,50828
Lower,Federal Way,Nautilus K-8 School,Rooms 22-25 Bldg,50829
Lower,Federal Way,Nautilus K-8 School,Rooms 7-14 Bldg,50830
Lower,Fife,Columbia Junior High School,Main Building,58132
Lower,Fife,Fife High School,Building VII 700 Cafeteria,58142
Lower,Highline,Hilltop Elementary School,400 Building - Bldg D,55175
Lower,Highline,Seahurst Elementary School,Main Building,55100
Lower,Index,Index Elementary School,Enclosed Covered Play,55233
Lower,Lake Washington,Dickinson Elementary School,Main Building,55935
Lower,Lake Washington,Emerson Campus,Emerson,55920
Lower,Lake Washington,Wilder Elementary School,Main Building,55846
Lower,Longview,Mt. Solo Middle School,Main Building,58466
Lower,Mansfield,Mansfield Elem and High School,Main Building,52291
Lower,Mary M Knight,Mary M. Knight School,High School Building,50924
Lower,Marysville,Marysville Pilchuck Senior High School,Physical Science Building - Bldg S,56251
Lower,Marysville,Marysville Pilchuck Senior High School,South Building - Bldg N,56247
Lower,Marysville,Quil Ceda Tulalip Elementary School,Main Building,56204
Lower,Methow Valley,Liberty Bell Junior Senior High School,Main Building,52358
Lower,Morton,Morton Elementary School,Gymnasium,58504
Lower,Mount Baker,Mount Baker Jr High School,200 Building - JHS,56405
Lower,Mount Baker,Mount Baker Jr High School,Pro-Rate Portion of Commons - Bldgg 100,56404
Lower,Mount Baker,Mount Baker Sr High School,300 North,56443
Lower,Mount Baker,Mount Baker Sr High School,300 South,56436
Lower,Mount Baker,Mount Baker Sr High School,700 Building,56425
Lower,Mount Baker,Mount Baker Sr High School,Pro-rate Portion of Commons - Bldg 100,56440
Lower,Naches Valley,Naches Valley Middle School,Main Building,52487
Lower,Newport,Newport High School,Main Building,52500
Lower,Oak Harbor,Oak Harbor Middle School,Building B,51288
Lower,Ocean Beach,Ocean Park Elementary School,Main Building,58647
Lower,Ocosta,Ocosta Elementary School,Primary Addition,58652
Lower,Olympia,Boston Harbor Elementary School,Main Building,58698
Lower,Olympia,Thurgood Marshall Middle School,Gym Building,58671
Lower,Olympia,Thurgood Marshall Middle School,Main Building,58672
Lower,Pasco,Edwin Markham Elementary School,Main Building,52770
Lower,Pateros,Pateros K-12 School,Wood Shop,52829
Lower,Peninsula,Gig Harbor High School,Two-Story Building,58819
Lower,Peninsula,Minter Creek Elementary School,Main Building,58834
Lower,Peninsula,Voyager Elementary School,Main Building,58817
Lower,Port Townsend,Blue Heron Middle School,Main Building,58917
Lower,Riverside,Chattaroy Elementary School,Main Building,53054
Lower,Royal,Red Rock Elementary School,Main Building,53072
Lower,Royal,Royal High School,B Main Building,53076
Lower,Royal,Royal Middle School,Main Building,53080
Lower,Shaw Island,Shaw Island School,Intermediate Classroom Building,57008
Lower,South Whidbey,South Whidbey Elementary School,Main Building,57240
Lower,Spokane,Audubon Elementary School,Main Building,53564
Lower,Tacoma,Edison Elementary School,Main Building,59747
Lower,Tacoma,Foss High School,Main Building - 2003 Addition,59802
Lower,Tacoma,Manitou Park Elementary School,Main Building,59601
Lower,Tacoma,Northeast Tacoma Elementary School,Gym Bldg-Bldg 2,59627
Lower,Tacoma,Northeast Tacoma Elementary School,Main Bldg-Bldg 1,59626
Lower,Tacoma,Sheridan Elementary School,Main Building,59723
Lower,Tacoma,Stanley Elementary School,First Bldg,59636
Lower,Thorp,Thorp Elementary and Jr-Sr High School,Thorp Elem/Jr/Sr High School,53671
Lower,Tonasket,Tonasket Elementary School,Tonasket Elementary,53674
Lower,Tonasket,Tonasket Middle-High School,High School/Middle School,53673
Lower,Tumwater,Black Lake Elementary School,Building A,59890
Lower,Tumwater,Black Lake Elementary School,Building B,59893
Lower,Tumwater,Black Lake Elementary School,Building C,59892
Lower,Warden,Warden K-12,Cafeteria,53814
Lower,Warden,Warden K-12,Middle School/High School,53812
Lower,White Pass,White Pass Junior Senior High School,Main Building,51568
Lower,White River,Mountain Meadow Elementary School,Main Building,51616
Lower,Wilson Creek,Wilson Creek K-12,Business Building/Home Ec.,53895
Lower,Wilson Creek,Wilson Creek K-12,Gym/Commons,53894
Lower,Wilson Creek,Wilson Creek K-12,Vo-Ag / Science Bldg,53892
